127.0.0.1 - - [16/Jan/2023:13:35:35 +0900] "GET / HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:35:36 +0900] "GET /day30/ex01.html HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:36:32 +0900] "GET /day30/ex01.html HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:36:41 +0900] "GET /day30/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:39:53 +0900] "GET /day30/ex02.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:41:41 +0900] "GET /day30/ex02.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:42:15 +0900] "GET /day30/ex02.jsp HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:42:15 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:42:34 +0900] "GET /day30/ex02.jsp HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:43:57 +0900] "GET /day30/ex02.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:45:23 +0900] "GET /day30/ex02.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:45:24 +0900] "GET /day30/ex02.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:45:25 +0900] "GET /day30/ex02.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:45:25 +0900] "GET /day30/ex02.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:46:59 +0900] "GET /day30/ex02.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:48:09 +0900] "GET /day30/ex02.jsp HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:49:45 +0900] "GET /day30/ex02.jsp HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:50:43 +0900] "GET /day30/ex02.jsp HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [16/Jan/2023:13:51:06 +0900] "GET /day30/ex02.jsp HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [16/Jan/2023:14:49:07 +0900] "GET /day30/ex03.jsp HTTP/1.1" 500 2651
0:0:0:0:0:0:0:1 - - [16/Jan/2023:14:49:31 +0900] "GET /day30/ex03.jsp HTTP/1.1" 500 2650
0:0:0:0:0:0:0:1 - - [16/Jan/2023:14:49:40 +0900] "GET /day30/ex03.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [16/Jan/2023:14:50:07 +0900] "GET /day30/ex03.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [16/Jan/2023:14:52:22 +0900] "GET /day30/ex03.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [16/Jan/2023:14:58:06 +0900] "GET /day30/ex03.jsp HTTP/1.1" 200 575
